run 20260819-225537-ea9b8a: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-152645-3f3d61: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-152701-297f1d: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-152712-0d4fe3: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-152758-f68b12: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-152809-83c129: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-153713-b98d62: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-153722-dbc225: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-153824-9ae019: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-153835-4b3069: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-153932-38b627: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-153943-4aa737: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-154010-657cec: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-154021-399ee3: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-154812-a099f2: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-154823-7c2dfe: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-154920-009188: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-154931-a4e919: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-155333-e4aaf6: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-155349-c99ae0: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-160420-116e9d: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-160430-f21d93: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-160504-8c1e7d: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-160515-ec9fc1: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-160526-cbcfcc: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-160806-238b0f: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-160821-a78b74: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-190235-14be6e: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260906-202048-f97266: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-074639-76a9aa: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-074656-d56495: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-074708-aa17e0: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-074832-817a45: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-075320-46ce71: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-075340-abc26e: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-075351-adf452: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-080040-73f449: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-080054-59afde: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-080109-4efd60: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-080806-bbdbfa: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-080822-c76fa3: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-080833-e8c62e: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-081543-d1a4af: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-081557-771105: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-081623-b8ea55: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-081736-77cf71: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-082332-2b7912: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-082352-57716b: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-082639-9698a7: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-082649-ab1914: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-082817-59cf45: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-112300-e9e449: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-122500-57ff6f: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-124321-9a8e89: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-124336-e399c3: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-164446-41509c: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-164502-224def: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-164514-437d81: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-164807-55fe3b: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-164818-b7b6b4: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-164837-7226e0: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-165122-d3c2cc: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-165350-fd246f: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-165435-52971d: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-165436-b04af9: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-170844-e0346a: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-170905-76eeb3: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-172050-dcc705: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-173427-b374cb: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-173551-edf3b3: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-174129-4a6f88: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-174322-4e6814: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-192931-4f9126: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260907-202007-d8bbf4: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260908-011653-7dcdcd: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260908-011709-65dc54: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260908-011732-8bf31e: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260908-012027-da2a13: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260908-012125-e8b6b5: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260908-012220-564cbe: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260908-012414-8d51ee: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260908-012613-282c51: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260908-012641-53c605: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260908-014019-0e3288: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260912-125137-4af573: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260912-125137-51a477: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
run 20260912-125149-d82847: env 2 redacted (CLAUDE_CODE_MESSAGING_TOKEN, SSH_AUTH_SOCK); values 0; mode 644 -> 600
redacted 273 of 273 traces (0 already clean, 0 skipped, 0 refused); spools under target/ and the TypeScript spool dirs are not reached; traces/ mode 775 -> 700
